hairy fleabane	Conyza bonariensis (L.) Cronquist	211	Forbs/Herbs
red manjack	Cordia collococca L.	0	Hardwood Trees
cabbage tree	Cordyline australis (G. Forst.) Endl.	4	Hardwood Trees
American bugseed	Corispermum americanum var. rydbergii Mosyakin	45	Forbs/Herbs
shiny bugseed	Corispermum nitidum Kit. ex J.A. Schultes	0	Forbs/Herbs
lesser swinecress	Coronopus didymus (L.) Sm.	347	Forbs/Herbs
purple pampasgrass	Cortaderia jubata (Lem.) Stapf	37	Grass or Grasslike
Uruguayan pampas grass	Cortaderia selloana (Schult. & Schult. f.) Asch. & Graebn.	120	Grass or Grasslike
common filbert	Corylus avellana L.	14	Hardwood Trees
karaka nut	Corynocarpus laevigatus J.R. & G. Forst.	4	Hardwood Trees
canereed	Costus speciosus (Koenig) Sm.	4	Forbs/Herbs
milkflower cotoneaster	Cotoneaster coriaceus Franch.	16	Shrub or Subshrub
orange cotoneaster	Cotoneaster franchetii Boiss.	21	Shrub or Subshrub
silverleaf cotoneaster	Cotoneaster pannosus Franch.	20	Shrub or Subshrub
cotoneaster	Cotoneaster spp. Medik.	4	Shrub or Subshrub
southern brassbuttons	Cotula australis (Sieber) Hook. f.	41	Forbs/Herbs
brassbuttons	Cotula coronopifolia L.	64	Forbs/Herbs
redflower ragleaf	Crassocephalum crepidioides (Benth.) S. Moore	10	Forbs/Herbs
common hawthorn	Crataegus monogyna Jacq.	152	Hardwood Trees
Washington hawthorn	Crataegus phaenopyrum (L. f.) Medik.	0	Shrub or Subshrub
smooth hawksbeard	Crepis capillaris (L.) Wallr	275	Forbs/Herbs
narrowleaf hawksbeard	Crepis tectorum L.	210	Forbs/Herbs
montbretia	Crocosmia x crocosmiiflora (V. Lemoine) N.E. Br. [aurea × pottsii]	32	Forbs/Herbs
smooth crotalaria	Crotalaria pallida Aiton	119	Shrub or Subshrub
showy rattlebox	Crotalaria spectabilis Roth	273	Forbs/Herbs
smooth bedstraw	Cruciata laevipes Opiz	1	Forbs/Herbs
piedmont bedstraw	Cruciata pedemontana (Bellardi) Ehrend.	232	Forbs/Herbs
common crupina	Crupina vulgaris Cass.	25	Forbs/Herbs
Japanese cedar	Cryptomeria japonica (L. f.) D. Don	5	Conifer Trees
Palay rubbervine	Cryptostegia grandiflora (Roxb. ex R. Br.) R. Br.	3	Vines
Madagascar rubbervine	Cryptostegia madagascariensis Bojer ex Dcne.	10	Vines
Chinese fir	Cunninghamia lanceolata (Lamb.) Hook.	22	Conifer Trees
carrotwood	Cupaniopsis anacardioides (A. Rich.) Radlk.	23	Hardwood Trees
tarweed cuphea	Cuphea carthagenensis (Jacq.) J.F. Macbr.	206	Forbs/Herbs
Arizona cypress	Cupressus arizonica Greene	32	Conifer Trees
Monterey cypress	Cupressus macrocarpa Hartw. ex Gord.	5	Conifer Trees
smallseed alfalfa dodder	Cuscuta approximata Bab.	73	Vines
clover dodder	Cuscuta epithymum (L.) L.	113	Vines
Japanese dodder	Cuscuta japonica Choisy	16	Vines
little ironweed	Cyanthillium cinereum (L.) H.E. Robins.	18	Forbs/Herbs
Cooper's cyathea	Cyathea cooperi (Hook. ex F. Muell.) Domin	5	Hardwood Trees
downy maiden fern	Cyclosorus dentatus (Forssk.) Ching	87	Palms
Kenilworth ivy	Cymbalaria muralis P.G. Gaertn., B. Mey. & Scherb.	3	Forbs/Herbs
cardoon	Cynara cardunculus L.	47	Forbs/Herbs
bermudagrass	Cynodon dactylon (L.) Pers	1130	Grass or Grasslike
houndstongue	Cynoglossum officinale L.	859	Forbs/Herbs
hedgehog dogtailgrass	Cynosurus echinatus L.	131	Grass or Grasslike
deeprooted sedge	Cyperus entrerianus Boeckl.	58	Grass or Grasslike
yellow nutsedge	Cyperus esculentus L.	1506	Grass or Grasslike
haspan flatsedge	Cyperus haspan L.	269	Grass or Grasslike
umbrella plant	Cyperus involucratus Rottb	68	Grass or Grasslike
rice flatsedge	Cyperus iria L.	426	Grass or Grasslike
Asian flatsedge	Cyperus microiria Steud.	21	Grass or Grasslike
miniature flatsedge	Cyperus prolifer Lam	13	Grass or Grasslike
purple nutsedge	Cyperus rotundus L.	431	Grass or Grasslike
Japanese netvein hollyfern	Cyrtomium falcatum (L. f.) C. Presl	39	Forbs/Herbs
Scotch broom	Cytisus scoparius (L.) Link	295	Shrub or Subshrub
striated broom	Cytisus striatus (Hill) Rothm	11	Shrub or Subshrub
orchardgrass	Dactylis glomerata L.	1696	Grass or Grasslike
crowfootgrass	Dactyloctenium aegyptium (L.) Willd	320	Grass or Grasslike
Indian rosewood	Dalbergia sissoo Roxb. ex DC.	18	Hardwood Trees
spurgelaurel	Daphne laureola L.	23	Hardwood Trees
February daphne	Daphne mezereum L.	52	Shrub or Subshrub
jimsonweed	Datura stramonium L.	1264	Forbs/Herbs
Queen Anne's lace, wild carrot	Daucus carota L.	1727	Forbs/Herbs
cape ivy	Delairea odorata Lem	26	Forbs/Herbs
Japanese false spleenwort	Deparia petersenii (Kunze) M. Kato	29	Forbs/Herbs
flixweed	Descurainia sophia (L.) Webb ex Prantl	824	Forbs/Herbs
creeping beggarweed	Desmodium incanum DC.	57	Shrub or Subshrub
Hawai'i ticktrefoil	Desmodium sandwicense E. Mey.	4	Shrub or Subshrub
threeflower beggarweed	Desmodium triflorum (L.) DC.	44	Forbs/Herbs
fuzzy pride-of-Rochester	Deutzia scabra Thunb.	56	Shrub or Subshrub
Deptford pink	Dianthus armeria L.	1175	Forbs/Herbs
Grecian foxglove	Digitalis lanata Ehrh.	34	Forbs/Herbs
foxglove	Digitalis purpurea L.	160	Forbs/Herbs
southern crabgrass	Digitaria ciliaris (Retz.) Koel	656	Grass or Grasslike
pangolagrass	Digitaria eriantha Steud.	35	Grass or Grasslike
sourgrass	Digitaria insularis (L.) Mez ex Ekman	47	Grass or Grasslike
large crabgrass	Digitaria sanguinalis (L.) Scop	1658	Grass or Grasslike
East Indian crabgrass	Digitaria setigera Roth ex Roemer & J.A. Schultes	6	Grass or Grasslike
violet crabgrass	Digitaria violascens Link	246	Grass or Grasslike
winged yam	Dioscorea alata L.	39	Vines
air-potato	Dioscorea bulbifera L.	94	Vines
Chinese yam	Dioscorea polystachya Turcz.	449	Vines
common teasel	Dipsacus fullonum L.	790	Forbs/Herbs
cutleaf teasel	Dipsacus laciniatus L.	301	Forbs/Herbs
Fuller's teasel	Dipsacus sativus (L.) Honckeny	30	Forbs/Herbs
stinkwort	Dittrichia graveolens (L.) W. Greuter	31	Forbs/Herbs
spring whitlowgrass	Draba verna L.	813	Forbs/Herbs
heartleaf drymary	Drymaria cordata (L.) Willd. ex J.A. Schultes	61	Forbs/Herbs
mexicantea	Dysphania ambrosioides (L.) Mosyakin & Clemants	1157	Forbs/Herbs
clammy goosefoot	Dysphania pumilio (R. Br.) Mosyakin & Clemants	164	Forbs/Herbs
junglerice	Echinochloa colona (L.) Link	471	Grass or Grasslike
barnyardgrass	Echinochloa crus-galli (L.) Beauv	1951	Grass or Grasslike
pride of Madeira	Echium candicans L. f.	12	Shrub or Subshrub
common viper's bugloss	Echium vulgare L.	581	Forbs/Herbs
eclipta	Eclipta prostrata (L.) L.	1250	Forbs/Herbs
Brazilian waterweed	Egeria densa Planch.	402	Aquatic Plants
perennial veldtgrass	Ehrharta calycina Sm.	17	Grass or Grasslike
panic veldtgrass	Ehrharta erecta Lam.	21	Grass or Grasslike
longflowered veldtgrass	Ehrharta longiflora Sm.	3	Grass or Grasslike
common water hyacinth	Eichhornia crassipes (Mart.) Solms	486	Aquatic Plants
Russian olive	Elaeagnus angustifolia L.	728	Shrub or Subshrub
cherry silverberry	Elaeagnus multiflora Thunb.	20	Shrub or Subshrub
thorny olive	Elaeagnus pungens Thunb.	230	Shrub or Subshrub
autumn olive	Elaeagnus umbellata Thunb.	1054	Shrub or Subshrub
